Come	Arhani 
Señor	Acha
Ajolote	Achoki
Comunicar	Aianguni
Información	Aianhperata
Informaron	Aianhpisïptiksï
Maguey	Akamba
De maguey	Akamberi
Chayotillo	Akarhini
Cómelo	Aku
Comestible	Akua
Herida	Akuarheta
Serpiente	Akuitse
Serpiente	Akuitsi
Pescado	Akumarha
Fruta	Amanhenchakua
Tejón	Amatsï
Peine	Ambajtsïtakua
Limpiarlo	Ambakerani
Bueno	Ambakiti
Limpiarlo	Ambarhini
Desplumado	Ambatakata
Qué	Ambe
Malgastar	Ambenarhini
Calle	Ambokuta
Piojo	Ambusï
Trabajo	Ánchekorheta
Trabajaré	Ánchikuarhiaaka
Trabajo	Ánchikuarhikua
Trabajar	Ánchikuarhini
Trabaja	Ánchikuarhisïndi
Trabajos	Ánchikuarhitecha
A los trabajos	Ánchikuarhitechani
Los trabajadores	Ánchikuarhiticha
Poniente	Andajchukua
Me alcanzará el tiempo	Andajkuarhiaaka
Nacimiento	Andajpienukua
Junto a la pared	Andajtakuerani
Sobre la puerta	Andamukuerani
En la víspera	Andamutakuarhu
Cerca de la cara	Andanharhikuerani
Arrimarse	Andanharhini
Alcanzar	Andanguni
Alcanzarlo	Andangutani
Alcanzarlo	Andanguntani
Triunfar	Andani
Ganancia	Andakua
Concurso	Andaperakua
En el concurso	Andaperakuarhu
En la punta de un cerro	Andaratini
Acercarse	Andarhierani
¿Por qué?	Andi
¿Por qué así?	Andisï
Pinole	Andumukua
Antojo	Anenchakua
Guisado	Angonakua
Se lo comerán	Anhaati
Cuello	Anhanchakua
Pararlo	Anhaskuni
Ya comieron	Anhastia
Arbol	Anhatapu
Levantarse	Anhaxurhini
Pararlo	Anhaxujtani
Arrastrar	Antsikuni
Arrastrando	Antsikupani
Estirarse	Antsikurhini
Crecer	Antsirani
Jalar	Antsitani
Calor	Aparhikua
Sudor	Aparhita
Comiendo	Aparini
Onza	Apasï
Comería	Apiringa
Dar pasos	Arajtarhini
Descalabrarse	Arhajtsïni
Rajado	Arhakata
Rajar	Arhakuni
Abrir la boca	Arhatani
Dile	Arhi
Les dijo	Arhiasïpti
Les dijeron	Arhiasïptiksï
Que le dirá	Arhiatinha
Discusión	Arhijperakua
Nos comunicaríamos	Arhijperapiringa
Indicarle	Arhijtakuni
Le dijo	Arhijti
Consejero	Arhijtsïkpiri
Dicho	Arhikata
Fachada	Arhikorhekua
Nombre	Arhikuarhikua
A las apariencias	Arhikuarhikuechani
Presumir	Arhikuarhini
Querer	Arhikuekani
Al que le dicen	Arhinhajka
Se llama	Arhinhasïndi
Leer	Arhini
Leerá	Arhintaati
Leer	Arhintani
Lectura	Arhintskua
En la biblioteca	Arhintskuarhu
En las salas de lectura	Arhintskuecharhu
Lectores	Arhintsticha
Músico	Arhirati
Explicar	Arhistani
Le dijo	Arhisti
Caña seca de maíz	Arho
Repartir	Arhukuni
Estos	Ariksï
A éste	Arini
Así	Arisï
Así exactamente	Arisïmindu
Sabroso	ásïpiti
Gorila	Asomi
Rebozo	Atache
Golpeador	Atajpiri
Golpeado	Atakata
Pintura	Atakua
Pintarse	Atanharhini
Golpear	Atani
Repintar	Atantani
Comida	Atapakua
Cuchara	Atarakua
Vender	Atarantani
Vendedor	Atarantsti
Embarrarse	Atarhekuarheni
Embarrar	Atarheni
Chirimoya	Átisï
Comezón	Atsïmikua
Lodo	Atsïmu
Comezón	Atsïmekua
Comeré	Auaka
Comeremos	Auakaksï
Cielo	Auanda
Conejo	Auani
Se lo comerá	Auati
Dedos	Axajkurhakuecha
Animal	Axajtsï
Horcón	Axambi
Labio leporino	Axamu
Mandar	Axani
Aquí	Axú
Por acá	Axueni
Venado	Axuni
Usted	Cha
De usted	Cháari
De ustedes	Cháaricha
Ustedes también	Chájtu
Canoa	Chakakua
Espina	Chakamikua
Peludo	Chakisï
Tieso	Chanhasï
Castillo	Charakua
Castillos	Charakuecha
Reventar	Charandani
Pelirroja	Charanksï
Aflojar	Charantskani
Rojo	Charapiti
Pistola	Chararakua
Cohetes	Chararakuecha
Reventado	Charari
Bebé	Charhaku
Suelo rojizo	Charhanda
Rojizo	Charhanksï
Reventado	Charhaparha
Rojo	Charhapiti
Clavarle	Chárhitani
Rojizo	Charho
Pelo rojo	Charhontsï
Nariz	Charhorhu
Clavarle	Chátani
De usted	Chéeti
Era tuyo	Cheetisïpti
Será tuyo	Cheetiuati
Nada más tuyo	Chéetku
Espantado	Chejtakata
Canoa	Chekakua
Espina	Chekamikua
Miedo	Chékua
Miedoso	Chémsï
Parpadear	Chénarhini
En tu casa	Chénembo
En su casa	Chénemboksï
Tener miedo	Chéni
Temiendo	Chéparini
Espantado	Chérakata
Asustar	Chérani
Lo espanta	Chérasïndi
Pescador	Cheremati
Al pescador	Cherematini
Lo espanto	Chérasïnga
Asustador	Chérpiti
Tengo miedo	Chésïnga
Tenía miedo	Chésïrampti
Espanto	Chetapu
En tu casa	Chíini
Tuyo	Chíiti
Agua sucia	Chikami
Apresúrate	Chikapi
Apresurarse	Chikapini
Leños	Chikaricha
Leña	Chikari
De la leña	Chikariri
Desinflamar	Chikerani
Desinflamarse	Chikerhuni
Flojo	Chikeri
Aflojar	Chiketani
Decirle mentiras	Chikuaderakuni
Mentir	Chikuanderani
El mentiroso	Chikuanderati
Los mentirosos	Chikuanderecha
Lumbre	Chipiri
Chapulín	Chóchu
Chapulines	Chóchuecha
Remador	Chójtati
Temor	Chónharhikua
Miedoso	Chónharhiti
Miedosos	Chónharhiticha
Resistente	Chopeparha
Duro	Choperi
Duros	Chopericha
Correrlos	Chúani
Cesto	Chuiti
Pícale	Chukurhi
Picarlo	Chukurhini
Le picaré	Chukurhioka
Era hoja	Chukurhisïpti
Seguirlo	Chúmani
Arrugarse	Chunukurhini
Noche	Chúrekua
A noche	Chúri
En la noche	Chúrikua
A las noches	Churikuechani
Todo el día	Chúskuni
Del tule	Chuspateri
Correrlo	Chútani
Seguirlo	Chúxapani
Persona	Chuxapati
Rasposo	Ch’erapiti
Feo	Ch'amachamasï







Ch'Descomponerse	amaparhani
Ch'Descomponer el techo	amaparhatani
Ch'Lastimar	amarhini
Ch'Agave	amasï
Ch'Agaves	amasïcha
Ch'En el agave	amasïrhu
Ch'De agave	amasïri
Ch'Era del agave	amasïrisïpti
Ch'Era agave	amasïspti
Ch'Descomponerlo	amatani
Ch'Juguetear con las manos	anajkuni
Ch'Juguetear con la cabeza	anajtsïni
Ch'Juego	anakua
Ch'En el juego	anakuarhu
Ch'Desear de jugar	ananchani
Ch'Chistes	ananderakua
Ch'Bromear	ananderani
Ch'Habíamos bromeado	ananderasïpkaksï
Ch'Bromista	ananderati
Ch'Bromistas	ananderaticha
Ch'Bromearé	ananderooka
Ch'Bromearás	ananderookari
Ch'Juguetear con los pies	anandurhani
Ch'Jugar	anani
Ch'Carnaval	anantskua
Ch'Juguete	anarakua
Ch'Hacerlo jugar	anarani
Ch'Instrumento de juego	anaratarakua
Ch'Instrumentos de juego	anaratarakuecha
Ch'Deportista	anari
Ch'Deportistas	anaricha
Ch'Del deportista	anariri
Ch'Era deportista	anarisïpti
Ch'Jugué	anasïka
Ch'Lo cortó	apajti
Ch'Maltajado	apakata
Ch'Volverá a talar el monte	apantaati
Ch'Un tipo de tamal de harina	apata
Ch'Tamales	apatecha
Ch'Era tamal	apatesïpti
Ch'Rasposo	arapiti
Ch'Machucarse la mano	atajkuni
Ch'Golpeado en la cabeza	atajtsïkukata
Ch'Machucárselo	atakuni
